p_1,p_2,p_3,e_1,e_2,e_3,vb_1,vb_2,vb_3,wb_1,wb_2,wb_3,rb_series_1,rb_series_2,rb_series_3,rb_dot_1,rb_dot_2,rb_dot_3,Fl_series,Fr_series,rb_dot_dot_1,rb_dot_dot_2,rb_dot_dot_3
0.384433251582958,0.845956299386408,-1.66878824901369,-0.100001675292351,0.0953838671835807,0.750813112038073,0.440654083493399,-0.0100494291988342,0.188463954849676,-0.0199561250797443,0.0964651728347102,-0.631323700803011,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.389893688424468,0.85138671767122,-1.66636858069,-0.101378100708057,0.0957942294850225,0.73982816822572,0.444128920376829,-0.0088730657490516,0.187881251820257,-0.0192142327630377,0.0970382917946138,-0.635315274292314,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.395440246731003,0.856815254854438,-1.66397100206362,-0.102758324795664,0.0961960783298314,0.728765828454112,0.447577266006416,-0.0076592843382913,0.187285199603049,-0.0184626269608517,0.0976149317031745,-0.639274182562634,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.401073155919803,0.862240543541524,-1.66159575349403,-0.104140540594853,0.0965891283899438,0.717626893465822,0.450998128458276,-0.0064082607558558,0.18667626717756,-0.01770149653534,0.0981950449051445,-0.643199853899583,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.406793348451325,0.867661159939826,-1.65924314069548,-0.105525971151766,0.0969739867432522,0.706411690892296,0.454390527963038,-0.0051202092037057,0.186054910990184,-0.0169310469545528,0.0987786023589994,-0.647091731065643,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.412600122281074,0.87307529302016,-1.65691308871184,-0.106914384078095,0.0973509417382256,0.695121537518198,0.457753501828438,-0.0037953694849498,0.185421572321647,-0.0161514797726711,0.0993655160719048,-0.650949278488267,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.418493819096362,0.878481270849149,-1.6546056119183,-0.10830204309057,0.0977208112499219,0.683757239385376,0.461086113173246,-0.0024340241205363,0.184776700435507,-0.0153630248036357,0.0999557754183562,-0.65477196198577,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.424474524212458,0.883877231789281,-1.65232104634343,-0.109692033600712,0.0980832066537871,0.672320331986935,0.464387441879691,-0.0010364967732045,0.184120737134763,-0.0145658983383656,0.100549338411914,-0.658559267986283,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.430541819384263,0.889261701920729,-1.65005930470033,-0.111083294333107,0.0984382504686365,0.660810829459384,0.467656592397931,0.0003968857426983,0.183454090304206,-0.0137603385743699,0.10114617548855,-0.662310699403278,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.436696096283961,0.894633243480039,-1.64782115615211,-0.112474515883736,0.0987877430096015,0.649230043541102,0.470892675043869,0.0018657325784477,0.182777186741525,-0.0129465800635894,0.101746239581572,-0.666025769928049,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.442936950173303,0.899989777156824,-1.64560642275092,-0.113866605795344,0.0991282798820116,0.637578584819573,0.474094837088601,0.0033696300387577,0.18209045190885,-0.0121248629655383,0.102349493939499,-0.669704011266,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.449264720840114,0.905329804317453,-1.64341522475656,-0.115260005900553,0.0994630847629531,0.625857764927129,0.477262243729027,0.0049081324599813,0.181394289971565,-0.011295437111364,0.1029558716655,-0.673344975989693,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.455679220931779,0.910651700891566,-1.64124795172797,-0.116652896550244,0.0997921970293981,0.614067956702118,0.480394073921196,0.0064807715069803,0.180689125793067,-0.0104585446977828,0.103565330731846,-0.676948226158254,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.46217987142548,0.915953876736754,-1.63910410885696,-0.118046986136428,0.100114787407492,0.602210925669333,0.483489540481201,0.0080870373017029,0.179975374071705,-0.0096144464802325,0.10417782766892,-0.680513339426813,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.468766949547202,0.921234632050179,-1.63698425314358,-0.119440435152077,0.100429480701541,0.590287424738158,0.486547888858029,0.0097263957172295,0.179253424647076,-0.0087633821952322,0.104793292101145,-0.684039907075404,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.475440319698306,0.926491165854699,-1.63488822991495,-0.120833892930727,0.100737531788412,0.578298337830824,0.489568379935769,0.011398284544635,0.17852367576532,-0.0079056261270825,0.105411681784435,-0.687527539193482,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.482200005819568,0.931722580578145,-1.63281584291602,-0.122226169958501,0.101039231608878,0.566244588428882,0.492550302440153,0.013102107586756,0.177786524018518,-0.0070413482006215,0.106032901639408,-0.690975857852485,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.489045802353771,0.936927578562839,-1.63076801467103,-0.123616536811101,0.101335172960382,0.554127743825482,0.495492973904607,0.0148372482075249,0.177042345554713,-0.006170842293312,0.106656882251947,-0.694384510400843,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
0.495977111099271,0.942103911405308,-1.6287444528766,-0.125005827356197,0.101624997565857,0.541947927758064,0.498395741138359,0.0166030528415174,0.176291531343887,-0.0052944391418822,0.107283604345864,-0.697753146867455,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0
