p_1,p_2,p_3,e_1,e_2,e_3,vb_1,vb_2,vb_3,wb_1,wb_2,wb_3,rb_series_1,rb_series_2,rb_series_3,rb_dot_1,rb_dot_2,rb_dot_3,Fl_series,Fr_series,rb_dot_dot_1,rb_dot_dot_2,rb_dot_dot_3,vb_dot_1,vb_dot_2,vb_dot_3,wb_dot_1,wb_dot_2,wb_dot_3,alpha,beta,vb_dot_sim_1,vb_dot_sim_2,vb_dot_sim_3,wb_dot_sim_1,wb_dot_sim_2,wb_dot_sim_3,radius
0.42931633439971,0.916437124603588,-1.64278828841917,-0.101285661624648,0.100715416923646,0.704034860262406,0.460200170800687,-0.0127667636117294,0.172846224553958,-0.0144549914269047,0.107938329109924,-0.63926630051168,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.210722707396152,0.0748385118232422,-0.0300571314886383,0.0541142046341906,0.0163451578715607,-0.231971205157731,0.35928714920128,-0.0259645505171123,0.34969254133212,0.301654539113233,0.136512639662684,0.344280254099388,-0.342963351065362,0.137490819369338,0.715961904839724
0.435286810496148,0.921753018226763,-1.64070615019153,-0.102740470052931,0.101618954640385,0.692976988502637,0.463712215923956,-0.011519455081342,0.17234527236248,-0.0135530880163348,0.108210748407783,-0.643132487264309,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.209230337254147,0.0771483748093242,-0.0309214742941838,0.0544466586157653,0.0161563094281025,-0.229671121303079,0.355843011503545,-0.023281349921719,0.348473861627614,0.303893857682371,0.136352446220112,0.347152695993115,-0.346579347424759,0.139065937658255,0.716610187567598
0.441345216688548,0.927062364854434,-1.63864832979433,-0.104194457309302,0.102486994187775,0.681848965285554,0.467199388211525,-0.01023364883452,0.171829914457577,-0.0126456437060721,0.108480020231585,-0.646960339286027,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.207676781353933,0.0794505174767624,-0.0317756924983653,0.0547515270536651,0.0159881825720654,-0.227337542259631,0.352432097473821,-0.0205550244772453,0.347217357786242,0.306057338515152,0.136212425628169,0.349920327958711,-0.349947947792626,0.140517157414428,0.717275994185127
0.447492020773597,0.932364300780104,-1.63661475212069,-0.105650336979127,0.103320019850974,0.670651113791741,0.470660667900757,-0.0089094735432406,0.171300319582605,-0.0117331182551777,0.108746489941119,-0.650749298323687,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.206063653823563,0.0817430134344167,-0.032621092597902,0.0550307948872268,0.0158400285222662,-0.224972117388209,0.349054304675539,-0.0177863148988946,0.345922008855012,0.308142772401474,0.136090957368008,0.352593606640347,-0.35307553991377,0.141844602459235,0.717958981910807
0.453727165509992,0.937656392956034,-1.63460523242975,-0.107104400305282,0.104115660777525,0.659385001418213,0.47409506213115,-0.00754708998600033,0.170756634705973,-0.0108159383403906,0.10901049041649,-0.654498833613491,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.204391941552015,0.0840240235401354,-0.0334588228127947,0.0552826534207786,0.0157123442836923,-0.222576319600392,0.345709459123084,-0.0149759789417181,0.344586203520568,0.310148483196091,0.135986903063194,0.355157607091792,-0.355947768656664,0.1430490137773,0.718658791269411
0.460050451548207,0.942937521357264,-1.63261997231204,-0.108557916288349,0.104875914197439,0.64805188283445,0.47750159449035,-0.00614668959366474,0.170198987659093,-0.00989456078337758,0.109272362821218,-0.658208438940164,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.202662564047335,0.0862907536937357,-0.0342876023567962,0.0555073958353039,0.0156034891781995,-0.220151809761677,0.342397330310513,-0.012124788349227,0.343209234997477,0.312072474117389,0.135898609192844,0.35761719144924,-0.358582141887277,0.144130902566777,0.719375030181564
0.466461817203962,0.948205621335297,-1.630659149124,-0.11000750418629,0.105598710722408,0.636652621662865,0.480879303891139,-0.00470851036543581,0.169627527619813,-0.00896943751945585,0.109532420974188,-0.661877635769525,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.20087573874751,0.0885405983057201,-0.0351054843418458,0.055704808700739,0.0155139038252461,-0.217699447943973,0.339117709207294,-0.00923355934543774,0.341789540942579,0.313913161413992,0.135824824018584,0.359959016055157,-0.360966462742765,0.145091312684597,0.720107258023868
0.47296152059233,0.953458750797911,-1.62872249977754,-0.111453199409119,0.106282859282185,0.625187652063324,0.484227232870264,-0.00323283372700714,0.169042436214116,-0.0080410240411102,0.109790986037942,-0.665505959901925,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.199031927273986,0.0907710780440397,-0.0359133787462779,0.0558753378822779,0.0154420709212652,-0.215221232929439,0.335870436680698,-0.00630314564639194,0.340325720813967,0.315668760364551,0.135763988457361,0.362183415569208,-0.363094821968976,0.14593113494411,0.720855040576829
0.479549373685548,0.958695600160908,-1.62681031655207,-0.112894615262867,0.106929658832963,0.613658482000446,0.487544431658164,-0.00171998242627314,0.168443879901678,-0.0071097684097389,0.11004835388663,-0.669092980450749,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.19713206551377,0.0929797265672525,-0.036709523636505,0.0560194660143829,0.0153882528574856,-0.212718261332321,0.332655313084525,-0.00333443355287594,0.338816913939138,0.317337583675288,0.135714387523733,0.364289050905553,-0.36497949506472,0.146651435552001,0.721617901802058
0.486225058167837,0.963914378816139,-1.62492242315337,-0.114332476519385,0.107538074890068,0.602066052992332,0.490829966083393,-0.000170320316818935,0.167832054507736,-0.00617611064283252,0.110304824767588,-0.672638284806287,0.0947,0.0006,0.238,0,0,0,0.01176,0.05978,0,0,0,0.195177565214774,0.0951646310459936,-0.0374942258281652,0.0561650357952274,0.0153735964633256,-0.210189654396258,0.329472176169379,-0.000328340455464851,0.337261753456288,0.318917921247622,0.135674337095152,0.366279213390729,-0.366615566134925,0.147253308445514,0.722395333930746
